,Ticker,CIK,Name,SIC,Year_end
0,AAPL,320193,Apple Inc. ,3571,0925
1,MSFT,789019,MICROSOFT CORP ,7372,0630
2,AMZN,1018724,AMAZON COM INC ,5961,1231
3,GOOG,1652044,Alphabet Inc. ,7370,1231
4,FB,1326801,Facebook Inc ,7370,1231
5,TCEHY,1293451,Tencent Holdings Ltd ,NaN,NaN
6,BABA,1577552,Alibaba Group Holding Ltd ,7389,NaN
7,BRK-A,1067983,BERKSHIRE HATHAWAY INC ,6331,1231
8,TSLA,1318605,"Tesla, Inc. ",3711,1231
9,V,1403161,VISA INC. ,7389,0930
10,TSM,1046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD ,3674,1231
11,WMT,104169,Walmart Inc. ,5331,0131
12,JNJ,200406,JOHNSON & JOHNSON ,2834,0103
13,JPM,19617,JPMORGAN CHASE & CO ,6021,1231
14,PG,80424,PROCTER & GAMBLE Co ,2840,0630
15,MA,1141391,Mastercard Inc ,7389,1231
16,NVDA,1045810,NVIDIA CORP ,3674,0131
17,SPY,884394,SPDR S&P 500 ETF TRUST ,NaN,0930
18,UNH,731766,UNITEDHEALTH GROUP INC ,6324,1231
19,HD,354950,"HOME DEPOT, INC. ",5211,0131
20,LVMUY,824046,LVMH MOET HENNESSY LOUIS VUITTON ,2080,1231
21,IDCBY,1445468,Industrial & Commercial Bank of China ,NaN,NaN
22,DIS,1744489,Walt Disney Co ,7990,1003
23,VZ,732712,VERIZON COMMUNICATIONS INC ,4813,1231
24,CRM,1108524,"SALESFORCE.COM, INC. ",7372,0131
25,BAC,70858,BANK OF AMERICA CORP /DE/ ,6021,1231
26,KO,21344,COCA COLA CO ,2080,1231
27,CMCSA,1166691,COMCAST CORP ,4841,1231
28,ADBE,796343,ADOBE INC. ,7372,1129
29,PYPL,1633917,"PayPal Holdings, Inc. ",7389,1231
30,NFLX,1065280,NETFLIX INC ,7841,1231
31,NKE,320187,"NIKE, Inc. ",3021,0531
32,MRK,310158,"Merck & Co., Inc. ",2834,1231
33,T,732717,AT&T INC. ,4813,1231
34,PFE,78003,PFIZER INC ,2834,1231
35,ORCL,1341439,ORACLE CORP ,7372,0531
36,PEP,77476,PEPSICO INC ,2080,1226
37,NVS,1114448,NOVARTIS AG ,2834,1231
38,ABT,1800,ABBOTT LABORATORIES ,2834,1231
39,TM,1094517,TOYOTA MOTOR CORP/ ,3711,0331
40,CICHY,1445474,China Construction Bank Corp ,8880,NaN
41,INTC,50863,INTEL CORP ,3674,1228
42,TMO,97745,THERMO FISHER SCIENTIFIC INC. ,3829,1231
43,ASML,937966,ASML HOLDING NV ,3559,1231
44,ABBV,1551152,AbbVie Inc. ,2834,1231
45,CSCO,858877,"CISCO SYSTEMS, INC. ",3576,0731
46,ORCL,1341439,ORACLE CORP ,7372,0531
47,CIHKY,1495688,"JPMorgan Chase Bank, N.A. - ADR Depositary ",8880,1231
48,COST,909832,COSTCO WHOLESALE CORP /NEW ,5331,0901
49,ACGBY,1501437,"JPMorgan Chase Bank, N.A. - ADR Depositary ",8880,1231
50,QCOM,804328,QUALCOMM INC/DE ,3663,0926
51,CVX,93410,CHEVRON CORP ,2911,1231
52,PDD,1737806,Tencent Holdings Ltd ,NaN,NaN
53,DHR,313616,DANAHER CORP /DE/ ,3823,1231
54,TMUS,1283699,"T-Mobile US, Inc. ",4812,1231
55,MCD,63908,MCDONALDS CORP ,5812,1231
56,XOM,34088,EXXON MOBIL CORP ,2911,1231
57,AVGO,1730168,Broadcom Inc. ,3674,1101
58,NVO,353278,NOVO NORDISK A S ,2834,1231
59,UL,217410,UNILEVER PLC ,2840,1231
60,ACN,1467373,Accenture plc ,7389,0831
61,LFC,1268896,CHINA LIFE INSURANCE CO LTD ,6311,1231
62,UN,110390,UNILEVER N V ,2840,1231
63,MDT,1613103,Medtronic plc ,3845,0430
64,NEE,753308,NEXTERA ENERGY INC ,4911,1231
65,TXN,97476,TEXAS INSTRUMENTS INC ,3674,1231
66,UPS,1090727,UNITED PARCEL SERVICE INC ,4210,1231
67,HON,773840,HONEYWELL INTERNATIONAL INC ,3724,1231
68,AZN,901832,ASTRAZENECA PLC ,2834,1231
69,SAP,1000184,SAP SE ,7372,1231
70,BMY,14272,BRISTOL MYERS SQUIBB CO ,2834,1231
71,UNP,100885,UNION PACIFIC CORP ,4011,1231
72,AAGIY,1511634,BANK OF NEW YORK / ADR DIVISION ,8880,NaN
73,LLY,59478,ELI LILLY & Co ,2834,1231
74,BHP,811809,BHP Group Ltd ,1000,0630
75,JD,1549802,"JD.com, Inc. ",5990,1231
76,LIN,1707925,LINDE PLC ,2810,1231
77,BACHY,1378999,BANK OF CHINA LTD ,NaN,NaN
78,AMGN,318154,AMGEN INC ,2836,1231
79,CHTR,1091667,"CHARTER COMMUNICATIONS, INC. /MO/ ",4841,1231
80,BUD,1668717,Anheuser-Busch InBev SA/NV ,2082,1231
81,SNY,1121404,Sanofi ,2834,1231
82,RDS-A,1306965,Royal Dutch Shell plc ,1311,1231
83,CHL,1117795,CHINA MOBILE LTD /ADR/ ,4813,1231
84,PM,1413329,Philip Morris International Inc. ,2111,1231
85,ZM,1585521,"Zoom Video Communications, Inc. ",7370,0131
86,SFTBY,1065521,SOFTBANK GROUP CORP ,NaN,NaN
87,SHOP,1594805,SHOPIFY INC. ,7372,1231
88,RTNTF,887028,RIO TINTO PLC ,1000,1231
89,QQQ,1067839,"INVESCO QQQ TRUST, SERIES 1 ",NaN,0930
90,SBUX,829224,STARBUCKS CORP ,5810,0927
91,LOW,60667,LOWES COMPANIES INC ,5211,0129
92,RY,1000275,ROYAL BANK OF CANADA ,6029,1031
93,BA,12927,BOEING CO ,3721,1231
94,PTR,1108329,PETROCHINA CO LTD ,1311,1231
95,SNE,313838,SONY CORP ,3651,0331
96,BBL,1171264,BHP Group Ltd ,1000,0630
97,C,831001,Citigroup Global Markets Holdings Inc. ,6211,1231
98,WFC,72971,WELLS FARGO & COMPANY/MN ,6021,1231
99,RTX,101829,RAYTHEON TECHNOLOGIES CORP ,3724,1231
100,TOT,879764,TOTAL SE ,1311,1231
101,MS,895421,MORGAN STANLEY ,6211,1231
102,AMT,1053507,AMERICAN TOWER CORP /MA/ ,6798,1231
103,LMT,936468,LOCKHEED MARTIN CORP ,3760,1231
104,HESAY,1436949,HERMES INTERNATIONAL S.C.A. ,NaN,NaN
105,HSBC,1089113,HSBC HOLDINGS PLC ,6035,1231
106,IBM,51143,INTERNATIONAL BUSINESS MACHINES CORP ,3570,1231
107,HDB,1144967,HDFC BANK LTD ,6029,0331
108,AMD,2488,ADVANCED MICRO DEVICES INC ,3674,1226
109,BLK,1364742,BlackRock Inc. ,6211,1231
110,NOW,1373715,"ServiceNow, Inc. ",7372,1231
111,MMM,66740,3M CO ,3841,1231
112,INTU,896878,INTUIT INC ,7372,0731
113,TD,947263,TORONTO DOMINION BANK ,6029,1031
114,CAT,18230,CATERPILLAR INC ,3531,1231
115,DEO,835403,DIAGEO PLC ,2080,0630
116,GSK,1131399,GLAXOSMITHKLINE PLC ,2834,NaN
117,AXP,4962,AMERICAN EXPRESS CO ,6199,1231
118,FIS,1136893,"Fidelity National Information Services, Inc. ",7389,1231
119,CHDRY,1450488,Christian Dior SE/ADR ,NaN,NaN
120,PPRUY,1445465,Kering ,NaN,NaN
121,SCHW,316709,SCHWAB CHARLES CORP ,6211,1231
122,SYK,310764,STRYKER CORP ,3841,1231
123,EL,1001250,ESTEE LAUDER COMPANIES INC ,2844,0630
124,UBER,1543151,"Uber Technologies, Inc ",7389,1231
125,CVS,64803,CVS HEALTH Corp ,5912,1231
126,SQ,1512673,"Square, Inc. ",7372,1231
127,ISRG,1035267,INTUITIVE SURGICAL INC ,3842,1231
128,BTI,1303523,British American Tobacco p.l.c. ,2111,NaN
129,TGT,27419,TARGET CORP ,5331,0201
130,GE,40545,GENERAL ELECTRIC CO ,3600,1231
131,SE,1703399,Sea Ltd ,7380,1231
132,EADSY,1378580,Airbus SE/ADR ,8880,NaN
133,MDLZ,1103982,"Mondelez International, Inc. ",2000,1231
134,BKNG,1075531,Booking Holdings Inc. ,4700,1231
135,SPGI,64040,S&P Global Inc. ,7320,1231
136,FRCOY,1446595,Fast Retailing Co Ltd ,NaN,0831
137,DE,315189,DEERE & CO ,3523,1101
138,ZTS,1555280,Zoetis Inc. ,2834,1231
139,RIO,863064,RIO TINTO PLC ,1000,1231
140,SBGSY,923734,SCHNEIDER ELECTRIC SA ,NaN,NaN
141,AIQUY,1161167,L AIR LIQUIDE SA /FI ,NaN,NaN
142,ANTM,1156039,"Anthem, Inc. ",6324,1231
143,CNI,16868,CANADIAN NATIONAL RAILWAY CO ,4011,1231
144,GS,886982,GOLDMAN SACHS GROUP INC ,6211,1231
145,GILD,882095,GILEAD SCIENCES INC ,2836,1231
146,CTA-PA,30554,DUPONT E I DE NEMOURS & CO ,2820,1231
147,FISV,798354,FISERV INC ,7374,1231
148,ADP,8670,AUTOMATIC DATA PROCESSING INC ,7374,0630
149,MO,764180,"ALTRIA GROUP, INC. ",2111,1231
150,DNNGY,1679771,Deutsche Bank Trust Co Americas/ ADR Group ,NaN,1231
151,CI,1739940,Cigna Corp ,6324,1231
152,PLD,1045609,"Prologis, Inc. ",6798,1231
153,TJX,109198,TJX COMPANIES INC /DE/ ,5651,0201
154,FDX,1048911,FEDEX CORP ,4513,0531
155,SNOW,1640147,Snowflake Inc. ,7372,0131
156,CL,21665,COLGATE PALMOLIVE CO ,2844,1231
157,CCI,1051470,CROWN CASTLE INTERNATIONAL CORP ,6798,1231
158,CHGCY,1453934,BANK OF NEW YORK / ADR DIVISION ,8880,NaN
159,SNP,1123658,CHINA PETROLEUM & CHEMICAL CORP ,2911,1231
160,AMAT,6951,APPLIED MATERIALS INC /DE ,3674,1025
161,CSX,277948,CSX CORP ,4011,1231
162,DMLRY,1067318,DAIMLER AG ,3711,1231
163,MU,723125,MICRON TECHNOLOGY INC ,3674,0902
164,KDDIY,1106215,KDDI CORP ,NaN,NaN
165,MELI,1099590,MERCADOLIBRE INC ,7389,1231
166,BEKE,1809587,KE Holdings Inc. ,6531,1231
167,BDX,10795,BECTON DICKINSON & CO ,3841,0930
168,DUK,1326160,Duke Energy CORP ,4931,1231
169,NIO,1736541,NIO Inc. ,3711,1231
170,DKILY,1446519,Daikin Industries Ltd ,NaN,0331
171,CB,896159,Chubb Ltd ,6331,1231
172,SHW,89800,SHERWIN WILLIAMS CO ,5200,1231
173,BP,313807,BP PLC ,2911,1231
174,ITW,49826,ILLINOIS TOOL WORKS INC ,3560,1231
175,VALE,917851,Vale S.A. ,1000,1231
176,USB,36104,US BANCORP \DE\ ,6021,1231
177,EQIX,1101239,EQUINIX INC ,6798,1231
178,D,715957,"DOMINION ENERGY, INC ",4911,1231
179,BYDDY,1445162,BYD CO LTD ,NaN,NaN
180,SO,92122,SOUTHERN CO ,4911,1231
181,RBGLY,1420798,RECKITT BENCKISER GROUP PLC ,NaN,1231
182,NJDCY,1158967,NIDEC CORP ,3621,0331
183,TFC,92230,TRUIST FINANCIAL CORP ,6021,1231
184,SNAP,1564408,Snap Inc ,7370,1231
185,LRCX,707549,LAM RESEARCH CORP ,3559,0628
186,INFY,1067491,Infosys Ltd ,7371,0331
187,VMW,1124610,"VMWARE, INC. ",7372,0129
188,BAM,1001085,BROOKFIELD ASSET MANAGEMENT INC. ,6512,1231
189,NSC,702165,NORFOLK SOUTHERN CORP ,4011,1231
190,GM,1467858,General Motors Co ,3711,1231
191,HKXCY,1445476,Hong Kong Exchanges & Clearing Ltd ,NaN,NaN
192,SAFRY,1364012,SAFRAN S.A. ,NaN,1231
193,BNPQY,310732,BNP PARIBAS ,8880,1231
194,ECL,31462,ECOLAB INC. ,2840,1231
195,SHECY,1442651,"Shin-Etsu Chemical Co., Ltd. ",NaN,NaN
196,APD,2969,AIR PRODUCTS & CHEMICALS INC /DE/ ,2810,0930
197,CME,1156375,CME GROUP INC. ,6200,1231
198,NTES,1110646,"NetEase, Inc. ",7389,NaN
199,ESLOY,1085922,ESSILOR INTERNATIONAL /FI ,8880,1231
200,PSTVY,1689565,"JPMorgan Chase Bank, N.A. - ADR Depositary ",8880,1231
201,ENB,895728,ENBRIDGE INC ,4610,1231
202,ATVI,718877,"Activision Blizzard, Inc. ",7372,1231
203,PBR,1119639,PETROBRAS - PETROLEO BRASILEIRO SA ,1311,1231
204,BNS,9631,BANK OF NOVA SCOTIA ,6022,1031
205,MMC,62709,"MARSH & MCLENNAN COMPANIES, INC. ",6411,1231
206,VCISY,1065198,VINCI                      /FI ,8880,NaN
207,MUFG,67088,MITSUBISHI UFJ FINANCIAL GROUP INC ,6029,0331
208,GPN,1123360,GLOBAL PAYMENTS INC ,7389,1231
209,ICE,1571949,"Intercontinental Exchange, Inc. ",6200,1231
210,ADSK,769397,"Autodesk, Inc. ",7372,0131
211,VRTX,875320,VERTEX PHARMACEUTICALS INC / MA ,2834,1231
212,ABB,1091587,ABB LTD ,3613,1231
213,PGR,80661,PROGRESSIVE CORP/OH/ ,6331,1231
214,REGN,872589,"REGENERON PHARMACEUTICALS, INC. ",2834,1231
215,WDAY,1327811,"Workday, Inc. ",7374,0131
216,PNC,713676,"PNC FINANCIAL SERVICES GROUP, INC. ",6021,1231
217,TAK,1395064,TAKEDA PHARMACEUTICAL CO LTD ,2834,NaN
218,OLCLY,1545460,"JPMorgan Chase Bank, N.A. - ADR Depositary ",8880,1231
219,HUM,49071,HUMANA INC ,6324,1231
220,EW,1099800,Edwards Lifesciences Corp ,3842,1231
221,RACE,1648416,Ferrari N.V. ,3711,1231
222,DG,29534,DOLLAR GENERAL CORP ,5331,0129
223,WBK,719245,WESTPAC BANKING CORP ,6029,0930
224,NOC,1133421,NORTHROP GRUMMAN CORP /DE/ ,3812,1231
225,UBS,1610520,UBS Group AG ,6021,1231
226,MCO,1059556,MOODYS CORP /DE/ ,7320,1231
227,VNJA,1532383,VANJIA CORP ,1531,1231
228,DELL,1571996,Dell Technologies Inc. ,3571,0131
229,HCA,860730,"HCA Healthcare, Inc. ",8062,1231
230,CEO,1095595,CNOOC LTD ,1311,1231
231,WM,823768,WASTE MANAGEMENT INC ,4953,1231
232,ITUB,1132597,Itau Unibanco Holding S.A. ,6022,1231
233,CSUAY,1445470,China Shenhua Energy Co Ltd ,NaN,NaN
234,MRAAY,1450468,"Murata Manufacturing Co., Ltd./ADR ",NaN,NaN
235,ADI,6281,ANALOG DEVICES INC ,3674,1031
236,TEAM,1650372,Atlassian Corp Plc ,7372,0630
